dedup_id,title,authors,first_author,first_author_lastname,year,published_date,summary,doi,arxiv_id,journal_ref,source,relevance,category,sub_tags,url,arxiv_url,source_query
doi:10.1109/GLOBECOM59602.2025.11431691,Semantic Communication Empowered Transmission Policy for UAV/UGV Cooperative Path Planning,Fangzhou Zhao; Yao Sun; Jianglin Lan; Lan Zhang; Xuesong Liu; M. Imran,Fangzhou Zhao,Zhao,2025,2025-12-08,"The coordinated control of unmanned aerial vehicles (UAVs) and unmanned ground vehicles (UGVs) offers significant advantages in applications such as surveillance, navigation, and emergency response. Effective path planning is essential in such missions, especially in complex environments where UAVs must relay accurate environmental data to assist UGVs. However, in urban environments and disaster zones, wireless communication is often unstable due to severe interference and non-line-of-sight conditions, making it difficult to support timely and accurate path planning for UAV-UGV coordination. To this end, this paper proposes a semantic communication (SemCom) framework specifically designed to enhance the reliability for UAV/UGV cooperative path planning under unreliable wireless conditions. SemCom transmits only key information for path planning, reducing transmission volume without sacrificing accuracy. Based on this framework, a SemCom transceiver is designed to fulfill the requiremen",10.1109/GLOBECOM59602.2025.11431691,,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,Semantic Scholar,medium,UAV-Semantic-Communication,uav semantic communication,https://doi.org/10.1109/GLOBECOM59602.2025.11431691,,UAV semantic communication cooperative
doi:10.1109/tvt.2026.3673755,Design of Multi-UAV Cooperative Deep Semantic Autoencoders for Communication Networks,Xiaoling Han; Bin Lin; Nan Wu; Tony Q. S. Quek,Xiaoling Han,Han,,,,10.1109/tvt.2026.3673755,,IEEE Transactions on Vehicular Technology,Semantic Scholar,medium,UAV-Semantic-Communication,uav semantic communication,https://doi.org/10.1109/tvt.2026.3673755,,UAV semantic communication cooperative
doi:10.1109/VTC2025-Spring65109.2025.11174638,Diffusion Model-Enabled Intelligent Channel Denoising for UAV Semantic Communication,Pengfei Ren; Jingjing Wang; J. Qian; Jianrui Chen; Xin Zhang; Chunxiao Jiang,Pengfei Ren,Ren,2025,2025-06-17,"Semantic communication (SC), by compressing raw data at the semantic level, significantly improves the information entropy of transmitted data and is considered as one of the key enabling technologies for the next-generation communication. However, most current research underestimates the impact of channel interference on SC systems. As an innovative generative artificial intelligence technique, the diffusion model (DM) has demonstrated remarkable performance in image denoising and enhancement. In this paper, we focus on the effects of wireless channels on SC image transmission and propose an unmanned aerial vehicle (UAV)-enhanced SC framework, termed diffusion joint source-channel coding (D-JSCC). Initially, we deploy a ground-to-air SC system on UAVs, utilizing the aerial advantage to provide favorable channels. Subsequently, we employ DM for intelligent signal processing, adaptively denoising channel interferences and optimizing received images with respect to numerical errors and p",10.1109/VTC2025-Spring65109.2025.11174638,,2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring),Semantic Scholar,medium,UAV-Semantic-Communication,uav semantic communication,https://doi.org/10.1109/VTC2025-Spring65109.2025.11174638,,UAV semantic communication cooperative
doi:10.1109/tvt.2026.3692564,Joint Trajectory-Resource Optimization for UAV Semantic Communication Systems,Yue Sun; Shuang Du; Haibo Mei; Qi Wang; Chuanjie Liu; Huan Ye,Yue Sun,Sun,,,,10.1109/tvt.2026.3692564,,IEEE Transactions on Vehicular Technology,Semantic Scholar,medium,UAV-Semantic-Communication,uav semantic communication,https://doi.org/10.1109/tvt.2026.3692564,,UAV semantic communication cooperative
doi:10.1109/TSC.2025.3536319,User Preference Oriented Service Caching and Task Offloading for UAV-Assisted MEC Networks,Ruiting Zhou; Yifeng Huang; Yufeng Wang; Lei Jiao; Haisheng Tan; Renli Zhang; Libing Wu,Ruiting Zhou,Zhou,2025,2025-03-01,"Unmanned aerial vehicles (UAVs) have emerged as a new and flexible paradigm to offer low-latency and diverse mobile edge computing (MEC) services for user equipment (UE). To minimize the service delay, caching is introduced in UAV-assisted MEC networks to bring service contents closer to UEs. However, UAV-assisted MEC is challenged by the heavy communication overhead introduced by service caching and UAV’s limited energy capacity. In this article, we propose an online algorithm, OOA, that jointly optimizes caching and offloading decisions for UAV-assisted MEC networks, to minimize the overall service delay. Specifically, to improve the caching effectiveness and reduce the caching overhead, OOA employs a greedy algorithm to dynamically make caching decisions based on UEs’ preferences on services and UAVs’ historical trajectories, with the goal of maximizing the probability of successful offloading. To realize the rational utilization of energy from a long-term perspective, OOA decompose",10.1109/TSC.2025.3536319,,IEEE Transactions on Services Computing,Semantic Scholar,medium,Uncategorized,,https://doi.org/10.1109/TSC.2025.3536319,,UAV task-oriented communication drone
doi:10.1109/ICCC65529.2025.11149286,Maintaining Sensing Freshness: Task-Oriented Age of Information Based Joint Scheduling for UAV-Assisted ISCC Networks,Manqi Jiang; Sike Cheng; Xuanheng Li; Haichuan Ding,Manqi Jiang,Jiang,2025,2025-08-10,"With the rapid development of $\mathbf{6 G}$, the Integration of Sensing, Communication, and Computation (ISCC) has emerged as a critical architecture to support real-time, intelligent, and autonomous services in future smart cities and intelligent transportation systems. Unmanned Aerial Vehicles (UAVs), owing to their high flexibility and mobility, have become key enablers in ISCC networks. However, most existing studies on UAV-assisted networks mainly focus on partial components of sensing, communication, and computation, without fully considering their joint impact, leading to difficulties in ensuring end-to-end information freshness. To address this problem, building upon the concept of Age of Information (AoI), we specifically design Task-oriented AoI (TAoI). This metric enables a comprehensive evaluation of information timeliness across the entire processing pipeline, from raw sensing data to final results, by accounting for factors such as sensing update intervals, transmission ",10.1109/ICCC65529.2025.11149286,,2025 IEEE/CIC International Conference on Communications in China (ICCC),Semantic Scholar,medium,Uncategorized,,https://doi.org/10.1109/ICCC65529.2025.11149286,,UAV task-oriented communication drone
doi:10.1109/ICC52391.2025.11161433,Task-Oriented Transmission and Scheduling for UAV-Based Real-Time Target Tracking in SAGSIN,Hanyu Wu; Shaohua Wu; Siqi Meng; Dawei Chen; Pengfei Duan; Qinyu Zhang,Hanyu Wu,Wu,2025,2025-06-08,"The Space-Air-Ground-Sea Integrated Network (SAGSIN) offers broad communication coverage, enabling operations in remote regions. However, conventional remote UAV communication solutions require satellite relays, resulting in significant latency that hinders real-time response and decision accuracy for time-sensitive tasks like UAV target tracking and attacking. To address this challenge, we establish a direct communication loop between observation UAVs, the satellite control center, and Reconnaissance-Strike UAVs, reducing reliance on satellite-ground relays. This closed loop ensures continuous control and feedback, making the system highly task-oriented by enabling dynamic adjustments to meet real-time mission demands. Equipped with onboard processing and decision-making capabilities, Reconnaissance-Strike UAVs respond more rapidly and autonomously, enabling quicker, decentralized responses. To ensure data timeliness, we introduce the Age of Incorrect Information (AoII) as a metric to",10.1109/ICC52391.2025.11161433,,ICC 2025 - IEEE International Conference on Communications,Semantic Scholar,medium,Uncategorized,,https://doi.org/10.1109/ICC52391.2025.11161433,,UAV task-oriented communication drone
doi:10.1109/ICCSP64183.2025.11089266,Multi-Uav Cooperative Communication with Task Scheduling in Internet of Things (IoT) based Network,H. M. Hariz; Hussein Ali Rasool; N. Dhivyadevi; A. F. Abed; Fatima H. Alsalamy; M. Habelalmateen,H. M. Hariz,Hariz,2025,2025-06-05,"Internet of Things (IoT) is the most trending technology which is utilized in a huge number of wireless applications. In recent times the number of devices used in the IoT based networks are increased which effects the data management and control that leads to reduce the performance of the devices. To overcome these drawbacks currently an Unmanned Aerial Vehicles (UAVs) are developed through that the devices are effectively monitored. To solve the task scheduling oriented drawbacks in the IoT network in this article Multi UAV Cooperative Communication with Task Scheduling (MUCTS) is developed. The core processes of this model are the effective system model, task scheduling process and multi-UAV construction. As the result of this process task scheduling is effectively performed. The proposed MUCTS is implemented in NS3 and to calculate the output the parameters which are considered are network throughput and delivery rate. From the result the MUCTS performed in a better way than the ea",10.1109/ICCSP64183.2025.11089266,,2025 11th International Conference on Communication and Signal Processing (ICCSP),Semantic Scholar,medium,Uncategorized,,https://doi.org/10.1109/ICCSP64183.2025.11089266,,UAV task-oriented communication drone
doi:10.1109/TVT.2024.3453333,Multi-UAV Assisted Mixed FSO/RF Communication Network for Urgent Tasks: Fairness Oriented Design With DRL,Fang Xu; Bin Duo; Yiyuan Xie; Gaofeng Pan; Yandong Yang; Luozhi Zhang; Yichen Ye; Tingnan Bao; T. Gulliver; Yuanchen Wang,Fang Xu,Xu,2025,2025-01-01,"Wireless communications can be improved by employing free space optical (FSO) channels. Since optical signals can only be transmitted via line-of-sight paths, UAVs are employed to forward data from a base station (BS) to remote users for urgent tasks using multi-hop mixed FSO/RF links. The UAVs employ the decode and forward protocol to relay data. The last UAV decodes and forwards the data to multiple users through RF links using non-orthogonal multiple access (NOMA). To improve fairness, a modified deep reinforcement learning (DRL) algorithm is used to optimize the transmit power allocation in real-time to minimize the maximum user decoding outage probability. Numerical results are presented to illustrate the system design tradeoffs. In addition, the validity of the proposed approach are verified by comparing it with exhaustive search algorithm.",10.1109/TVT.2024.3453333,,IEEE Transactions on Vehicular Technology,Semantic Scholar,medium,Uncategorized,,https://doi.org/10.1109/TVT.2024.3453333,,UAV task-oriented communication drone
doi:10.1109/GLOBECOM59602.2025.11432022,Task-Oriented Communications for Visual Navigation with Edge-Aerial Collaboration in Low Altitude Economy,Zhengru Fang; Zhenghao Liu; Jingjing Wang; Senkang Hu; Yu Guo; Yiqin Deng; Yuguang Fang,Zhengru Fang,Fang,2025,2025-12-08,"To support the development of the Low Altitude Economy (LAE), it is essential to achieve precise localization of unmanned aerial vehicles (UAVs) in urban areas where global positioning system (GPS) signals are unavailable. Vision-based methods offer a viable alternative but face severe bandwidth, memory and processing constraints on lightweight UAVs. Inspired by mammalian spatial cognition, we propose a task-oriented communication framework, where UAVs equipped with multi-camera systems extract compact multi-view features and offload localization tasks to edge servers. We introduce the Orthogonally-constrained Variational Information Bottleneck encoder (O-VIB), which incorporates automatic relevance determination (ARD) to prune non-informative features while enforcing orthogonality to minimize redundancy. This enables efficient and accurate localization with minimal transmission cost. Extensive evaluation on a dedicated LAE UAV dataset shows that O-VIB achieves high-precision localizat",10.1109/GLOBECOM59602.2025.11432022,,GLOBECOM 2025 - 2025 IEEE Global Communications Conference,Semantic Scholar,medium,Uncategorized,,https://doi.org/10.1109/GLOBECOM59602.2025.11432022,,UAV task-oriented communication drone
